File Name, Strategy, Completed Paths, Partially Completed Paths,Total no of test data generated,No. of Test Data hitting Target Code,Least iteration,Highest iteration

temp_ctrl.c,bfs,0,1001,6004,999,1,999
temp_ctrl.c,dfs,0,1001,6004,999,1,999
temp_ctrl.c,random-state,0,1016,6093,1014,1,1014
temp_ctrl.c,random-path,0,998,5985,996,1,996
temp_ctrl.c,nurs:covnew,0,1023,6136,1021,1,1021
temp_ctrl.c,nurs:md2u,0,1032,6189,1030,1,1030
temp_ctrl.c,nurs:depth,0,1024,6141,1022,1,1022
temp_ctrl.c,nurs:rp,0,916,5493,914,1,914
temp_ctrl.c,nurs:icnt,0,1022,6129,1020,1,1020
temp_ctrl.c,nurs:cpicnt,0,1012,6069,1010,1,1010
temp_ctrl.c,nurs:qc,0,1026,6154,1025,1,1025
temp_ctrl.c,Interleaved,0,1018,6105,1016,1,1016
temp_ctrl.c,bfs,0,295,587,111,1,9
temp_ctrl.c,dfs,0,145,192,48,1,48
else1
temp_ctrl.c,random-state,0,293,717,110,1,6
temp_ctrl.c,random-path,0,240,636,137,1,47
temp_ctrl.c,nurs:covnew,0,296,703,117,1,6
temp_ctrl.c,nurs:md2u,0,296,710,120,1,6
temp_ctrl.c,nurs:depth,0,225,550,111,1,10
temp_ctrl.c,nurs:rp,0,116,283,47,1,27
temp_ctrl.c,nurs:icnt,0,282,728,111,1,5
temp_ctrl.c,nurs:cpicnt,0,289,715,124,1,6
temp_ctrl.c,nurs:qc,0,285,702,109,1,9
temp_ctrl.c,Interleaved,0,264,661,136,1,27
if2
temp_ctrl.c,bfs,0,359,961,144,1,9
temp_ctrl.c,dfs,0,145,238,48,1,48
temp_ctrl.c,random-state,0,319,914,126,1,5
temp_ctrl.c,random-path,0,329,1053,142,1,7
temp_ctrl.c,nurs:covnew,0,306,937,128,1,5
temp_ctrl.c,nurs:md2u,0,306,937,128,1,5
temp_ctrl.c,nurs:depth,0,267,887,116,1,6
temp_ctrl.c,nurs:rp,0,359,1575,239,1,88
temp_ctrl.c,nurs:icnt,0,297,976,123,1,5
temp_ctrl.c,nurs:cpicnt,0,303,933,129,1,4
temp_ctrl.c,nurs:qc,0,292,994,120,1,7
temp_ctrl.c,Interleaved,0,324,1050,142,1,6

temp_ctrl.c,bfs,0,312,880,0,1,8
temp_ctrl.c,dfs,0,141,186,0,1,47
temp_ctrl.c,random-state,0,276,990,0,1,8
temp_ctrl.c,random-path,0,296,923,0,1,8
temp_ctrl.c,nurs:covnew,0,273,1029,0,1,9
temp_ctrl.c,nurs:md2u,0,276,1051,0,1,9
temp_ctrl.c,nurs:depth,0,258,816,0,1,10
temp_ctrl.c,nurs:rp,0,221,705,0,1,123
temp_ctrl.c,nurs:icnt,0,281,846,0,1,7
temp_ctrl.c,nurs:cpicnt,0,277,990,0,1,9
temp_ctrl.c,nurs:qc,0,291,1083,0,1,16
temp_ctrl.c,Interleaved,0,314,1036,0,1,8
temp_ctrl.c,bfs,0,310,874,284,1,8
temp_ctrl.c,dfs,0,144,190,47,1,48
temp_ctrl.c,random-state,0,275,990,301,1,8
temp_ctrl.c,random-path,0,345,1336,447,1,8
temp_ctrl.c,nurs:covnew,0,277,1057,328,1,9
temp_ctrl.c,nurs:md2u,0,273,1029,320,1,9
temp_ctrl.c,nurs:depth,0,259,820,237,1,10
temp_ctrl.c,nurs:rp,0,223,711,223,1,124
temp_ctrl.c,nurs:icnt,0,284,852,225,1,7
temp_ctrl.c,nurs:cpicnt,0,283,1015,309,1,9
temp_ctrl.c,nurs:qc,0,277,998,297,1,15
temp_ctrl.c,Interleaved,0,289,955,266,1,8


if1
g4klee.c,bfs,2,1,100,39,1,20
g4klee.c,dfs,2,1,100,39,1,20
g4klee.c,random-state,2,1,100,39,1,20
g4klee.c,random-path,2,1,100,39,1,20
g4klee.c,nurs:covnew,2,1,100,39,1,20
g4klee.c,nurs:md2u,2,1,100,39,1,20
g4klee.c,nurs:depth,2,1,100,39,1,20
g4klee.c,nurs:rp,2,1,100,39,1,20
g4klee.c,nurs:icnt,2,1,100,39,1,20
g4klee.c,nurs:cpicnt,2,1,100,39,1,20
g4klee.c,nurs:qc,2,1,100,39,1,20
g4klee.c,Interleaved,2,1,100,39,1,20

if2

g4klee.c,bfs,2,1,41,20,1,20
g4klee.c,dfs,2,1,41,20,1,20
g4klee.c,random-state,2,1,41,20,1,20
g4klee.c,random-path,2,1,41,20,1,20
g4klee.c,nurs:covnew,2,1,41,20,1,20
g4klee.c,nurs:md2u,2,1,41,20,1,20
g4klee.c,nurs:depth,2,1,41,20,1,20
g4klee.c,nurs:rp,2,1,41,20,1,20
g4klee.c,nurs:icnt,2,1,41,20,1,20
g4klee.c,nurs:cpicnt,2,1,41,20,1,20
g4klee.c,nurs:qc,2,1,41,20,1,20
g4klee.c,Interleaved,2,1,41,20,1,20
if3
g4klee.c,bfs,3,0,100,0,1,20
g4klee.c,dfs,3,0,100,0,1,20
g4klee.c,random-state,3,0,100,0,1,20
g4klee.c,random-path,3,0,100,0,1,20
g4klee.c,nurs:covnew,3,0,100,0,1,20
g4klee.c,nurs:md2u,3,0,100,0,1,20
g4klee.c,nurs:depth,3,0,100,0,1,20
g4klee.c,nurs:rp,3,0,100,0,1,20
g4klee.c,nurs:icnt,3,0,100,0,1,20
g4klee.c,nurs:cpicnt,3,0,100,0,1,20
g4klee.c,nurs:qc,3,0,100,0,1,20
g4klee.c,bfs,3,0,100,0,1,20
g4klee.c,dfs,3,0,100,0,1,20
g4klee.c,random-state,3,0,100,0,1,20
g4klee.c,random-path,3,0,100,0,1,20
g4klee.c,nurs:covnew,3,0,100,0,1,20
g4klee.c,nurs:md2u,3,0,100,0,1,20
g4klee.c,nurs:depth,3,0,100,0,1,20
g4klee.c,nurs:rp,3,0,100,0,1,20
g4klee.c,nurs:icnt,3,0,100,0,1,20
g4klee.c,nurs:cpicnt,3,0,100,0,1,20
g4klee.c,nurs:qc,3,0,100,0,1,20
g4klee.c,Interleaved,3,0,100,0,1,20
g4klee.c,bfs,3,0,100,0,1,20

vogal-2.c,bfs,1940,7664,14743,9031,0,152
vogal-2.c,dfs,5784,20,16077,14460,0,71
vogal-2.c,random-state,12,28204,28016,679,0,32
vogal-2.c,random-path,2631,8208,17515,8177,0,101
vogal-2.c,nurs:covnew,12,25217,25038,666,0,31
vogal-2.c,nurs:md2u,12,24619,24421,644,0,31
vogal-2.c,nurs:depth,1464,6481,13961,8459,0,61
vogal-2.c,nurs:rp,740,9379,14737,5082,0,152
vogal-2.c,nurs:icnt,637,19053,21759,2587,0,53
vogal-2.c,nurs:cpicnt,12,24448,24163,592,0,32
vogal-2.c,nurs:qc,12,24435,24244,637,0,31
vogal-2.c,Interleaved,1417,13623,18179,4241,0,84

vogal-2.c,bfs,1,18,10,0,0,0
vogal-2.c,dfs,1,18,10,0,0,0
vogal-2.c,random-state,1,18,10,0,0,0
vogal-2.c,random-path,1,18,10,0,0,0
vogal-2.c,nurs:covnew,1,18,10,0,0,0
vogal-2.c,nurs:md2u,1,18,10,0,0,0
vogal-2.c,nurs:depth,1,18,10,0,0,0
vogal-2.c,nurs:rp,1,18,10,0,0,0
vogal-2.c,nurs:icnt,1,18,10,0,0,0
vogal-2.c,nurs:cpicnt,1,18,10,0,0,0
vogal-2.c,nurs:qc,1,18,10,0,0,0
vogal-2.c,Interleaved,1,18,10,0,0,0


input1.c,bfs,0,69494,93414,14236,1,8
input1.c,dfs,0,560,698,139,1,140
input1.c,random-state,0,36186,68595,7597,1,7
input1.c,random-path,0,34744,60246,4115,1,7
input1.c,nurs:covnew,0,35060,64731,7583,1,7
input1.c,nurs:md2u,0,33934,62396,7376,1,7
input1.c,nurs:depth,0,30613,57503,6458,1,9
input1.c,nurs:rp,0,1078,1172,340,1,183
input1.c,nurs:icnt,0,38055,75544,7846,1,8
input1.c,nurs:cpicnt,0,34201,62432,7459,1,7
input1.c,nurs:qc,0,34689,63862,7515,1,7
input1.c,Interleaved,0,31386,56763,3909,1,7


input1.c,bfs,0,43681,56050,8504,1,7
input1.c,dfs,0,365,606,120,1,121
input1.c,random-state,0,41305,70492,8356,1,7
input1.c,random-path,0,29089,52264,3248,1,7
input1.c,nurs:covnew,0,31569,56699,5759,1,6
input1.c,nurs:md2u,0,30101,54252,5532,1,6
input1.c,nurs:depth,0,26920,45601,5502,1,8
input1.c,nurs:rp,0,856,952,267,1,146
input1.c,nurs:icnt,0,38096,68265,7410,1,7
input1.c,nurs:cpicnt,0,31319,56978,5636,1,6
input1.c,nurs:qc,0,27538,49171,5243,1,11
input1.c,Interleaved,0,29143,49394,3324,1,7


input1.c,bfs,0,561,560,372,1,187
input1.c,dfs,0,563,562,373,1,187
input1.c,random-state,0,563,562,373,1,187
input1.c,random-path,0,552,551,0,1,183
input1.c,nurs:covnew,0,553,551,366,1,184
input1.c,nurs:md2u,0,559,557,370,1,186
input1.c,nurs:depth,0,561,560,372,1,187
input1.c,nurs:rp,0,520,519,345,1,173
input1.c,nurs:icnt,0,399,398,264,1,133
input1.c,nurs:cpicnt,0,393,392,260,1,131
input1.c,nurs:qc,0,409,408,271,1,136
input1.c,Interleaved,0,411,410,0,1,136



input1.c,bfs,0,22522,20471,6140,1,12
input1.c,dfs,0,457,457,152,1,152
input1.c,random-state,0,24510,23756,7136,1,14
input1.c,random-path,0,22847,26571,7126,1,13
input1.c,nurs:covnew,0,30013,29305,8673,1,14
input1.c,nurs:md2u,0,24328,24021,7159,1,14
input1.c,nurs:depth,0,21464,21042,6284,1,19
input1.c,nurs:rp,0,750,751,247,1,151
input1.c,nurs:icnt,0,23386,22579,6364,1,14
input1.c,nurs:cpicnt,0,24827,24581,7364,1,14
input1.c,nurs:qc,0,21752,21707,6552,1,22
input1.c,Interleaved,0,21955,24749,5879,1,13

input1.c,bfs,0,623,622,413,1,207
input1.c,dfs,0,615,614,408,1,205
input1.c,random-state,0,621,620,412,1,207
input1.c,random-path,0,619,617,0,1,205
input1.c,nurs:covnew,0,631,629,418,1,210
input1.c,nurs:md2u,0,631,629,418,1,210
input1.c,nurs:depth,0,629,628,417,1,209
input1.c,nurs:rp,0,614,613,407,1,204
input1.c,nurs:icnt,0,639,638,424,1,213
input1.c,nurs:cpicnt,0,624,623,414,1,208
input1.c,nurs:qc,0,633,632,420,1,211
input1.c,Interleaved,0,633,632,0,1,210



input1.c,bfs,0,70526,68910,5494,1,8
input1.c,dfs,0,714,571,142,1,143
input1.c,random-state,0,48510,56303,4602,1,9
input1.c,random-path,0,42409,47432,1556,1,7
input1.c,nurs:covnew,0,41606,48254,3952,1,8
input1.c,nurs:md2u,0,42366,49137,4022,1,8
input1.c,nurs:depth,0,40726,47338,4056,1,10
input1.c,nurs:rp,0,1631,1691,15,1,217
input1.c,nurs:icnt,0,43752,54583,4574,1,8
input1.c,nurs:cpicnt,0,45037,52329,4307,1,9
input1.c,nurs:qc,0,43617,50587,4137,1,8
input1.c,Interleaved,0,42051,48004,1629,1,7


input1.c,bfs,0,21987,36965,2222,1,12
input1.c,dfs,0,580,677,96,1,97
input1.c,random-state,0,19180,33834,1979,1,11
input1.c,random-path,0,19444,30294,1056,1,11
input1.c,nurs:covnew,0,17712,31412,1916,1,12
input1.c,nurs:md2u,0,17863,31653,1926,1,12
input1.c,nurs:depth,0,15970,28478,1703,1,13
input1.c,nurs:rp,0,18761,32185,1960,1,12
input1.c,nurs:icnt,0,16325,29679,1601,1,13
input1.c,nurs:cpicnt,0,17545,31186,1904,1,12
input1.c,nurs:qc,0,17112,30329,1860,1,12
input1.c,Interleaved,0,17111,28978,1073,1,11

input1.c,bfs,0,24305,35550,4130,1,13

input1.c,dfs,0,563,656,93,1,94
input1.c,random-state,0,19764,30371,3511,1,13
input1.c,random-path,0,18495,27741,1878,1,12
input1.c,nurs:covnew,0,20155,30865,3667,1,12
input1.c,nurs:md2u,0,19415,29902,3544,1,13
input1.c,nurs:depth,0,16432,25476,2895,1,14
input1.c,nurs:rp,0,18432,28175,3170,1,13
input1.c,nurs:icnt,0,19314,31343,3135,1,13
input1.c,nurs:cpicnt,0,19056,29635,3300,1,12
input1.c,nurs:qc,0,19963,30761,3630,1,13
input1.c,Interleaved,0,17535,26955,1579,1,12
